# Extracted surface points
# Object: trace_plane_Stand
# CoordinateSpace: World
# Units: meters
# Count: 3377
# Color 0: Name=Green, RGB=0,255,0, Tolerance=0
# Color 1: Name=SecondColor, RGB=255,0,0, Tolerance=0
index,x,y,z,colorIndex,colorName
352,-0.07075995,0.06351869,0.08034453,0,Green
353,-0.07043749,0.06322301,0.08099170,0,Green
354,-0.07032999,0.06300677,0.08143062,0,Green
355,-0.07172941,0.06347888,0.08011162,0,Green
356,-0.07123579,0.06356208,0.08011162,0,Green
357,-0.07145245,0.06332183,0.08049802,0,Green
358,-0.07100126,0.06328364,0.08071469,0,Green
359,-0.07129833,0.06305692,0.08104973,0,Green
360,-0.07083374,0.06303748,0.08123511,0,Green
361,-0.07205252,0.06404991,0.07884818,0,Green
362,-0.07170631,0.06393688,0.07919440,0,Green
363,-0.07136010,0.06382386,0.07954061,0,Green
364,-0.07183670,0.06370013,0.07962828,0,Green
365,-0.07237606,0.06422435,0.07838508,0,Green
366,-0.07188084,0.06430686,0.07838508,0,Green
367,-0.07143738,0.06415876,0.07883529,0,Green
368,-0.07251338,0.06499463,0.07666078,0,Green
369,-0.07216263,0.06484699,0.07710884,0,Green
370,-0.07205401,0.06465798,0.07755914,0,Green
371,-0.07229387,0.06444211,0.07794156,0,Green
372,-0.07323880,0.06485572,0.07665852,0,Green
373,-0.07285010,0.06478834,0.07696813,0,Green
374,-0.07255857,0.06466583,0.07735683,0,Green
375,-0.07377814,0.06528962,0.07539603,0,Green
376,-0.07342783,0.06520797,0.07574636,0,Green
377,-0.07307750,0.06512632,0.07609667,0,Green
378,-0.07399425,0.06544498,0.07493198,0,Green
379,-0.07350290,0.06553852,0.07493197,0,Green
380,-0.07302519,0.06556781,0.07507756,0,Green
381,-0.07292055,0.06539413,0.07553479,0,Green
382,-0.07262027,0.06528754,0.07592151,0,Green
383,-0.07464186,0.06598303,0.07320542,0,Green
384,-0.07424448,0.06595049,0.07350916,0,Green
385,-0.07378193,0.06596439,0.07370004,0,Green
386,-0.07345677,0.06587496,0.07408931,0,Green
387,-0.07394452,0.06576609,0.07413054,0,Green
388,-0.07389185,0.06613465,0.07320543,0,Green
389,-0.07507334,0.06618411,0.07237428,0,Green
390,-0.07471976,0.06613520,0.07272788,0,Green
391,-0.07421228,0.06640749,0.07225467,0,Green
392,-0.07421457,0.06624188,0.07272661,0,Green
393,-0.07539631,0.06642913,0.07147887,0,Green
394,-0.07490661,0.06653277,0.07147887,0,Green
395,-0.07446521,0.06654333,0.07171567,0,Green
396,-0.07512502,0.06634253,0.07189040,0,Green
397,-0.07615086,0.06680772,0.06975231,0,Green
398,-0.07571683,0.06682459,0.07000426,0,Green
399,-0.07536320,0.06678835,0.07035789,0,Green
400,-0.07507428,0.06672245,0.07076238,0,Green
