# Extracted surface points
# Object: trace_plane_Stand
# CoordinateSpace: World
# Units: meters
# Count: 4170
# Color 0: Name=Green, RGB=0,255,0, Tolerance=0
# Color 1: Name=SecondColor, RGB=255,0,0, Tolerance=0
index,x,y,z,colorIndex,colorName
265,-0.00003436,0.03310814,0.07668848,0,Green
266,-0.00035434,0.03332417,0.07700845,0,Green
267,-0.00067431,0.03354019,0.07732842,0,Green
268,-0.00099428,0.03375622,0.07764839,0,Green
269,-0.00131855,0.03397514,0.07797266,0,Green
270,-0.00000216,0.03306329,0.07725118,0,Green
271,-0.00043326,0.03335266,0.07772539,0,Green
272,-0.00086436,0.03364513,0.07811985,0,Green
273,-0.00156275,0.03413362,0.07838067,0,Green
274,0.00032292,0.03284150,0.07694259,0,Green
275,-0.00172873,0.03422646,0.07884467,0,Green
276,-0.00172873,0.03419876,0.07934538,0,Green
277,-0.00172873,0.03417106,0.07984609,0,Green
278,-0.00208483,0.03446322,0.07910582,0,Green
279,-0.00208483,0.03443552,0.07960653,0,Green
280,-0.00208483,0.03440782,0.08010723,0,Green
281,-0.00244093,0.03467228,0.07986766,0,Green
282,-0.00097093,0.03368611,0.07883277,0,Green
283,-0.00134552,0.03394164,0.07904804,0,Green
284,-0.00345529,0.03530849,0.08099214,0,Green
285,-0.00345529,0.03527116,0.08149193,0,Green
286,-0.00376685,0.03546176,0.08183378,0,Green
287,-0.00226612,0.03449544,0.08064678,0,Green
288,-0.00258985,0.03469963,0.08097051,0,Green
289,-0.00302149,0.03497187,0.08140215,0,Green
290,-0.00299343,0.03498948,0.08090144,0,Green
291,-0.00264596,0.03477596,0.08047844,0,Green
292,-0.00392421,0.03552539,0.08230487,0,Green
293,-0.00425050,0.03572017,0.08263117,0,Green
294,-0.00457680,0.03591496,0.08295746,0,Green
295,-0.00490310,0.03610975,0.08328376,0,Green
296,-0.00430453,0.03580532,0.08213848,0,Green
297,-0.00522952,0.03630271,0.08361016,0,Green
298,-0.00555880,0.03648636,0.08393946,0,Green
299,-0.00588808,0.03667001,0.08426874,0,Green
300,-0.00518187,0.03621786,0.08413077,0,Green
301,-0.00518187,0.03616676,0.08462936,0,Green
302,-0.00539524,0.03626234,0.08507135,0,Green
303,-0.00559773,0.03644355,0.08460759,0,Green
304,-0.00578279,0.03649634,0.08528472,0,Green
305,-0.00597221,0.03666557,0.08485363,0,Green
306,-0.00620083,0.03677211,0.08528690,0,Green
307,-0.00690844,0.03712627,0.08616984,0,Green
308,-0.00690844,0.03706276,0.08666595,0,Green
309,-0.00722971,0.03722429,0.08701345,0,Green
310,-0.00727561,0.03732646,0.08644521,0,Green
311,-0.00759688,0.03748798,0.08679271,0,Green
312,-0.00647298,0.03679772,0.08649091,0,Green
313,-0.00614857,0.03663872,0.08605982,0,Green
314,-0.00653612,0.03691437,0.08590524,0,Green
315,-0.00661233,0.03702655,0.08542189,0,Green
316,-0.00474805,0.03592581,0.08411779,0,Green
317,-0.00442270,0.03576110,0.08357769,0,Green
318,-0.00345530,0.03522111,0.08214217,0,Green
319,-0.00388531,0.03545592,0.08284800,0,Green
320,-0.00733680,0.03721796,0.08750329,0,Green
321,-0.00762456,0.03734379,0.08789429,0,Green
322,-0.00776734,0.03736793,0.08837316,0,Green
323,-0.00809025,0.03752086,0.08872463,0,Green
324,-0.00849663,0.03778844,0.08860820,0,Green
325,-0.00817007,0.03763563,0.08824453,0,Green
326,-0.00802383,0.03761630,0.08776651,0,Green
327,-0.00773570,0.03749238,0.08737579,0,Green
328,-0.00857170,0.03791118,0.08812885,0,Green
329,-0.00891363,0.03805993,0.08854256,0,Green
330,-0.02815390,0.04959487,0.08811058,0,Green
331,-0.02815390,0.04941554,0.08857828,0,Green
332,-0.02826099,0.04982642,0.08765382,0,Green
333,-0.02854293,0.04968419,0.08841219,0,Green
334,-0.02864050,0.04990534,0.08797242,0,Green
335,-0.02865572,0.05009922,0.08751144,0,Green
336,-0.02908410,0.05035324,0.08746140,0,Green
337,-0.02761413,0.04837869,0.09045572,0,Green
338,-0.02804686,0.04911902,0.08916188,0,Green
339,-0.02840131,0.04915605,0.08951633,0,Green
340,-0.02846655,0.04937780,0.08907273,0,Green
341,-0.02772348,0.04868370,0.08983634,0,Green
342,-0.02799045,0.04864908,0.09025869,0,Green
343,-0.02825961,0.04891669,0.08993263,0,Green
344,-0.00893043,0.03798448,0.08903762,0,Green
345,-0.00926961,0.03813175,0.08937681,0,Green
346,-0.00960880,0.03827901,0.08971599,0,Green
347,-0.00863502,0.03775387,0.08936984,0,Green
348,-0.00906226,0.03794044,0.08979047,0,Green
349,-0.00917017,0.03792519,0.09027937,0,Green
350,-0.00958199,0.03814097,0.09046436,0,Green
351,-0.00987489,0.03837045,0.09012961,0,Green
352,-0.01035498,0.03830708,0.09199297,0,Green
353,-0.00992389,0.03819597,0.09123637,0,Green
354,-0.01035498,0.03840236,0.09150030,0,Green
355,-0.00995688,0.03830968,0.09075028,0,Green
356,-0.01034618,0.03849240,0.09100762,0,Green
357,-0.01072857,0.03865787,0.09128451,0,Green
358,-0.01073299,0.03856334,0.09178634,0,Green
359,-0.01101375,0.03864523,0.09219312,0,Green
360,-0.01121714,0.03884150,0.09177972,0,Green
